player_id,player,season,competition,position,goals_total,goals_per90,penalty_goals_total,shots_total,shots_per90,shots_on_target_total,shots_on_target_per90,assists_total,assists_per90,accurate_passes_total,accurate_passes_per90,pass_accuracy_total,pass_accuracy_per90,duels_won_total,duels_won_per90,duels_won_pct_total,duels_won_pct_per90,aerials_won_total,aerials_won_per90,aerials_won_pct_total,aerials_won_pct_per90,touches_total,touches_per90,touches_in_opposition_box_total,touches_in_opposition_box_per90,fouls_won_total,fouls_won_per90,defensive_actions_total,defensive_actions_per90,blocked_scoring_attempt_total,blocked_scoring_attempt_per90,fouls_committed_total,fouls_committed_per90,recoveries_total,recoveries_per90,dribbled_past_total,dribbled_past_per90,clean_sheets_total,clean_sheets_per90,goals_conceded_while_on_pitch_total,goals_conceded_while_on_pitch_per90,yellow_cards_total,red_cards_total
846009,Adam Idah,2019/2020,FA Cup,Striker,3,1.99,1,6,3.97,4,2.65,0,0,8,5.29,72.7,72.73,4,2.65,40.0,40,1,0.66,33.3,33.33,28,18.53,5,3.31,3,1.99,3,1.99,1,0.66,3,1.99,3,1.99,1,0.66,0,0,2,1.32,0,0
846009,Adam Idah,2019/2020,Premier League,Striker,0,0,,6,2.44,2,0.81,0,0,35,14.25,72.9,72.92,9,3.67,28.1,28.12,3,1.22,21.4,21.43,93,37.87,8,3.26,4,1.63,3,1.22,,,2,0.81,5,2.04,1,0.41,0,0,9,3.67,0,0
846009,Adam Idah,2020/2021,Championship,Striker,3,0.83,,13,3.59,8,2.21,1,0.28,54,14.91,63.5,63.53,20,5.52,34.5,34.48,4,1.1,20.0,20,180,49.69,29,8.01,2,0.55,11,3.04,,,9,2.48,21,5.8,3,0.83,0,0,2,0.55,3,1
846009,Adam Idah,2021/2022,FA Cup,Striker,0,0,,3,3.8,2,2.54,0,0,5,6.34,50.0,50,3,3.8,33.3,33.33,2,2.54,50.0,50,28,35.49,6,7.61,,,2,2.54,,,1,1.27,1,1.27,,,0,0,0,0,0,0
846009,Adam Idah,2021/2022,Premier League,Striker,1,0.15,,14,2.03,4,0.58,1,0.15,89,12.92,67.4,67.42,47,6.82,45.6,45.63,16,2.32,37.2,37.21,268,38.9,30,4.35,10,1.45,21,3.05,2,0.29,7,1.02,29,4.21,1,0.15,1,0.15,11,1.6,0,0
846009,Adam Idah,2022/2023,Championship,Striker,2,0.16,,31,2.41,4,0.31,1,0.08,209,16.27,71.6,71.58,56,4.36,34.8,34.78,18,1.4,34.6,34.62,536,41.73,51,3.97,8,0.62,26,2.02,3,0.23,15,1.17,49,3.81,8,0.62,1,0.08,12,0.93,3,0
